file	source	article_id	genre	topic	category	url	n_sentences	n_chars
pol-782898.txt	politika	782898	vest	pol-drustvo	drustvo	https://www.politika.rs/sr/clanak/782898/markovic-pozar-ne-menja-namenu-zemljista-i-nije-precica-do-gradnje	8	2068
pol-783067.txt	politika	783067	vest	svet	Region	https://www.politika.rs/sr/clanak/783067/u-hrvatskoj-10-zarazenih-virusom-zapadnog-nila-sest-osoba-u-bolnici	8	887
pol-783293.txt	politika	783293	vest	pol-drustvo	politika	https://www.politika.rs/sr/clanak/783293/novih-18-000-kvadrata-za-nauku-i-privredu-vucic-obisao-fazu-2-naucno-tehnoloskog-parka-u-nisu	8	1727
pol-783303.txt	politika	783303	vest	kultura	kultura	https://www.politika.rs/sr/clanak/783303/izlozba-25-godina-nagrade-dimitrije-basicevic-mangelos-otvorena-u-galeriji-flu	8	4173
pol-783363.txt	politika	783363	vest	svet	Svet	https://www.politika.rs/sr/clanak/783363/hakabi-ne-postoji-plan-da-se-palestinci-nateraju-da-napuste-gazu	7	1073
pol-783397.txt	politika	783397	vest	pol-drustvo	politika	https://www.politika.rs/sr/clanak/783397/zavetnici-posveceni-daljem-razvoju-nisavskog-okruga	8	5143
pol-783592.txt	politika	783592	vest	pol-drustvo	drustvo	https://www.politika.rs/sr/clanak/783592/novi-sad-regionalni-centar-elektromobilnosti	8	1804
pol-783648.txt	politika	783648	vest	svet	svet	https://www.politika.rs/sr/clanak/783648/premijer-poljske-samo-idioti-ili-izdajnici-kod-nas-mogu-da-se-raduju-trijumfu-afd-a	6	1655
pol-783692.txt	politika	783692	vest	pol-drustvo	politika	https://www.politika.rs/sr/clanak/783692/ivan-ivanovic-prozvao-nezadovoljne-blokadere-potrazite-znacenje-bezuslovne-podrske	5	1008
rts-5481808.txt	rts	5481808	kolumna	svet	Smatracnica	https://www.rts.rs/vesti/smatracnica/5481808/tesla-1900-prvi-zamislio-internet--besplatni-bezicni-i-multimedijalni.html	8	6911
rts-5512009.txt	rts	5512009	kolumna	ekonomija	Smatracnica	https://www.rts.rs/vesti/smatracnica/5512009/ranko-bugarski-profesor-in-memoriam.html	8	2178
rts-5521199.txt	rts	5521199	kolumna	svet	Smatracnica	https://www.rts.rs/vesti/smatracnica/5521199/sta-bi-klauzevic-rekao-o-ukrajinskom-napadu-na-kursku-oblast.html	8	10657
rts-5522243.txt	rts	5522243	kolumna	ekonomija	Smatracnica	https://www.rts.rs/vesti/smatracnica/5522243/zasto-u-americi-niko-nece-posao-za-platu-od-sto-hiljada-dolara-godisnje.html	8	3475
rts-5526817.txt	rts	5526817	kolumna	kultura	Smatracnica	https://www.rts.rs/vesti/smatracnica/5526817/riblja-corba-arena-bora-djordjevic-najbolji-koncert.html	8	6953
rts-5548870.txt	rts	5548870	kolumna	ekonomija	Smatracnica	https://www.rts.rs/vesti/smatracnica/5548870/putovanje-uzbekistan-avion-rat-iran-.html	8	5085
rts-5560475.txt	rts	5560475	kolumna	kultura	Smatracnica	https://www.rts.rs/vesti/smatracnica/5560475/secanja-u-slici--price-o-poginulima-nestalima-i-onima-koji-su-ostali-iza-njih.html	8	3670
rts-5570266.txt	rts	5570266	kolumna	svet	Smatracnica	https://www.rts.rs/vesti/smatracnica/5570266/sveti-luka-ili-noc-vestica---jos-jedna-uvezena-dilema.html	8	3752
