config	model	scheme	fold	macro_f1	f1_obj	f1_subj	accuracy	n_test	best_param	n_features
w13-tfidf-lower-stem	logreg	grouped	8	0.691	0.75	0.632	0.7023	309	10	11356
w13-tfidf-lower-stem	logreg	grouped	9	0.7229	0.7738	0.6719	0.7323	310	10	11260
w13-tfidf-lower-stem	nb	plain	0	0.756	0.7887	0.7232	0.7604	313	0.1	11328
w13-tfidf-lower-stem	nb	plain	1	0.7224	0.773	0.6719	0.7316	313	0.1	11191
w13-tfidf-lower-stem	nb	plain	2	0.7219	0.7645	0.6792	0.7284	313	0.1	11321
w13-tfidf-lower-stem	nb	plain	3	0.7049	0.7407	0.6691	0.7093	313	0.1	11314
w13-tfidf-lower-stem	nb	plain	4	0.7165	0.7663	0.6667	0.7252	313	0.1	11289
w13-tfidf-lower-stem	nb	plain	5	0.7219	0.7645	0.6792	0.7284	313	0.1	11167
w13-tfidf-lower-stem	nb	plain	6	0.7433	0.7958	0.6908	0.754	313	0.1	11252
w13-tfidf-lower-stem	nb	plain	7	0.7692	0.8098	0.7287	0.7764	313	0.1	11204
w13-tfidf-lower-stem	nb	plain	8	0.6782	0.7163	0.64	0.6827	312	0.1	11257
w13-tfidf-lower-stem	nb	plain	9	0.7423	0.7869	0.6977	0.75	312	0.1	11246
w13-tfidf-lower-stem	nb	grouped	0	0.6878	0.7419	0.6336	0.6972	317	0.1	11382
w13-tfidf-lower-stem	nb	grouped	1	0.6797	0.7433	0.616	0.6923	312	0.5	11197
w13-tfidf-lower-stem	nb	grouped	2	0.661	0.7158	0.6061	0.6698	315	0.1	11250
w13-tfidf-lower-stem	nb	grouped	3	0.628	0.7113	0.5447	0.6467	317	0.5	11383
w13-tfidf-lower-stem	nb	grouped	4	0.716	0.7603	0.6717	0.7229	314	0.5	11323
w13-tfidf-lower-stem	nb	grouped	5	0.7535	0.7922	0.7148	0.7596	312	0.1	11338
w13-tfidf-lower-stem	nb	grouped	6	0.7589	0.8105	0.7073	0.77	313	0.1	11418
w13-tfidf-lower-stem	nb	grouped	7	0.7536	0.7839	0.7232	0.7573	309	0.1	11479
w13-tfidf-lower-stem	nb	grouped	8	0.7059	0.7582	0.6535	0.7152	309	0.1	11356
w13-tfidf-lower-stem	nb	grouped	9	0.7212	0.768	0.6744	0.729	310	0.1	11260
w13-tf-lower-stem	logreg	plain	0	0.7213	0.7658	0.6768	0.7284	313	100	11328
w13-tf-lower-stem	logreg	plain	1	0.7187	0.7789	0.6585	0.7316	313	10	11191
w13-tf-lower-stem	logreg	plain	2	0.7225	0.781	0.664	0.7348	313	10	11321
w13-tf-lower-stem	logreg	plain	3	0.7039	0.7437	0.6642	0.7093	313	100	11314
w13-tf-lower-stem	logreg	plain	4	0.7107	0.768	0.6534	0.722	313	10	11289
w13-tf-lower-stem	logreg	plain	5	0.6761	0.7258	0.6264	0.6837	313	10	11167
w13-tf-lower-stem	logreg	plain	6	0.7247	0.7775	0.6719	0.7348	313	10	11252
